iter	RMSE
0	208.7807666
1	197.3256038
2	186.8567425
3	177.620435
4	168.9056462
5	160.7566446
6	153.5484933
7	146.8473174
8	140.7523273
9	135.1242952
10	130.2125491
11	125.7311928
12	121.62863
13	118.0143905
14	114.5887632
15	111.5280802
16	108.5202398
17	105.8113292
18	103.6093201
19	101.4393891
20	99.44717185
21	97.82296041
22	96.34834352
23	94.80704715
24	93.57045549
25	92.42962242
26	91.43587086
27	90.46362886
28	89.63577955
29	88.80717112
30	88.14375248
31	87.47444212
32	86.89994867
33	86.36307074
34	85.78904524
35	85.28886517
36	84.69737613
37	84.32960708
38	84.00907987
39	83.70036032
40	83.42887884
41	83.02982043
42	82.67779019
43	82.44296116
44	82.2119224
45	81.9556294
46	81.72026745
47	81.46093607
48	81.26435967
49	80.9940934
50	80.78336449
51	80.54679142
52	80.2400064
53	80.06154975
54	79.73590205
55	79.55364298
56	79.37893193
57	79.14057321
58	78.97812285
59	78.83510063
60	78.71560327
61	78.57989127
62	78.46820083
63	78.35264115
64	78.21119204
65	78.02197962
66	77.9029658
67	77.76961767
68	77.65900363
69	77.51993934
70	77.38202165
71	77.27103503
72	77.15943978
73	76.94436379
74	76.76055224
75	76.67138795
76	76.58306316
77	76.48048751
78	76.407886
79	76.35199848
80	76.25107879
81	76.16145499
82	76.05787244
83	75.99560839
84	75.92612419
85	75.78560165
86	75.72576378
87	75.57710365
88	75.48029866
89	75.33861907
90	75.2427326
91	75.14522438
92	75.04059503
93	74.88163841
94	74.76742669
95	74.70475292
96	74.60787873
97	74.55527677
98	74.4455022
99	74.32695305
100	74.27073843
101	74.18180587
102	74.11145535
103	73.98708569
104	73.95886348
105	73.88111216
106	73.78693803
107	73.72906742
108	73.62637506
109	73.55286265
110	73.4802665
111	73.37866827
112	73.33140948
113	73.27069491
114	73.18889233
115	73.12668871
116	73.03037199
117	72.9710077
118	72.89645327
119	72.7926093
120	72.75164604
121	72.66828152
122	72.62264865
123	72.56597946
124	72.51866569
125	72.45044919
126	72.41345119
127	72.38629262
128	72.30850344
129	72.24264319
130	72.1787951
131	72.07287018
132	71.97903796
133	71.92178923
134	71.87317358
135	71.83677791
136	71.75784434
137	71.72890228
138	71.70044877
139	71.68398607
140	71.63557754
141	71.55475037
142	71.52478248
143	71.42342687
144	71.35596439
145	71.33213018
146	71.29118164
147	71.25482661
148	71.22068779
149	71.17401771
150	71.16019774
151	71.1453412
152	71.11004931
153	71.07675379
154	71.02827425
155	70.97901182
156	70.95742196
157	70.94056859
158	70.88920307
159	70.86157655
160	70.81692401
161	70.80112392
162	70.78240453
163	70.72405914
164	70.66365579
165	70.62593788
166	70.61218741
167	70.59976335
168	70.56602459
169	70.51633864
170	70.47927092
171	70.45610968
172	70.4443629
173	70.40859911
174	70.39939592
175	70.37214027
176	70.30728444
177	70.26589989
178	70.23255819
179	70.22214323
180	70.17973766
181	70.16845322
182	70.11587775
183	70.0571556
184	70.02098762
185	70.00453913
186	69.96882072
187	69.89921883
188	69.86210869
189	69.83360738
190	69.80138687
191	69.7613274
192	69.7517612
193	69.72307663
194	69.67109306
195	69.61296536
196	69.59553351
197	69.53507856
198	69.47718307
199	69.4462956
