Unnamed: 0,property_type,location,price_lakh,rate_per_sqft,total_sqft,status,city
908,Residential Plot,Kadthal,25.25,15303,165.0,New,Hyderabad
909,Residential Plot,Kadthal,26.4,12000,220.0,New,Hyderabad
910,Residential Plot,Tukkuguda,50.0,2083,2400.0,Resale,Hyderabad
911,Residential Plot,Kadthal,26.0,15757,165.0,New,Hyderabad
912,Residential Plot,Kadthal,24.4,15844,154.0,New,Hyderabad
913,Residential Plot,Kadthal,24.5,13387,183.0,New,Hyderabad
914,Residential Plot,Kadthal,24.0,14545,165.0,New,Hyderabad
915,Residential Plot,Sreenagar,124.0,4428,2800.0,Resale,Hyderabad
916,Residential Plot,Adibatla,51.0,30538,167.0,New,Hyderabad
917,Residential Plot,Kadthal,24.0,12000,200.0,New,Hyderabad
918,Residential Plot,Kadthal,24.0,13114,183.0,New,Hyderabad
919,Residential Plot,Kadthal,26.0,14207,183.0,New,Hyderabad
920,2 BHK Apartment,Kukatpally,103.0,7800,1325.0,Under Construction,Hyderabad
921,3 BHK Independent Floor,Madhapur,550.0,16034,3430.0,Ready to move,Hyderabad
922,3 BHK Apartment,Isnapur,65.34,4299,1520.0,Under Construction,Hyderabad
923,2 BHK Apartment,Miyapur,74.98,6823,1099.0,Under Construction,Hyderabad
924,2 BHK Apartment,Hitech City,170.0,12743,1334.0,Ready to move,Hyderabad
925,2 BHK Apartment,Gachibowli,90.28,6955,1298.0,Under Construction,Hyderabad
926,3 BHK Apartment,Nanakramguda,220.00000000000003,11111,1980.0,Ready to move,Hyderabad
927,4 BHK Villa,Tellapur,535.0,14657,3650.0,Ready to move,Hyderabad
928,3 BHK Apartment,Kondapur,230.0,13450,1710.0,Ready to move,Hyderabad
929,3 BHK Apartment,Narsingi,213.0,11122,1915.0,Ready to move,Hyderabad
930,3 BHK Apartment,Kukatpally,128.0,7800,1650.0,Under Construction,Hyderabad
931,2 BHK Apartment,Gachibowli,90.28,6993,1291.0,Under Construction,Hyderabad
932,2 BHK Apartment,Kokapet,81.37,7486,1087.0,Under Construction,Hyderabad
933,9 BHK Independent House,Miyapur,300.0,3750,8000.0,Ready to move,Hyderabad
934,4 BHK Apartment,Hitech City,400.0,12944,3090.0,Ready to move,Hyderabad
935,2 BHK Apartment,Kokapet,81.37,7486,1087.0,Under Construction,Hyderabad
936,2 BHK Apartment,Gachibowli,90.28,6999,1290.0,Under Construction,Hyderabad
937,3 BHK Villa,Isnapur,134.0,6380,2100.0,Under Construction,Hyderabad
938,2 BHK Apartment,Gachibowli,90.28,6999,1290.0,Under Construction,Hyderabad
939,3 BHK Apartment,Kondapur,108.0,6705,1618.0,Ready to move,Hyderabad
940,2 BHK Apartment,Kompally,62.0,5166,1200.0,Under Construction,Hyderabad
941,3 BHK Apartment,Osman Nagar,84.0,5250,1600.0,Under Construction,Hyderabad
942,2 BHK Apartment,Osman Nagar,84.0,5250,1600.0,Under Construction,Hyderabad
943,3 BHK Apartment,Kollur,84.0,5250,1600.0,Under Construction,Hyderabad
944,4 BHK Villa,Shankarpalli,185.0,7708,2400.0,Ready to move,Hyderabad
945,4 BHK Apartment,Kukatpally,416.0,8737,4761.0,Ready to move,Hyderabad
946,2 BHK Apartment,Bandlaguda Jagir,98.28,6825,1440.0,Under Construction,Hyderabad
947,3 BHK Apartment,Moosapet,109.0,5500,1995.0,Under Construction,Hyderabad
948,2 BHK Apartment,Miyapur,83.0,7280,1140.0,Ready to move,Hyderabad
949,4 BHK Villa,Kollur,550.0,13414,4100.0,Ready to move,Hyderabad
950,3 BHK Apartment,Moosapet,101.0,5500,1850.0,Under Construction,Hyderabad
951,3 BHK Apartment,Gopanpally,195.0,9923,1965.0,Under Construction,Hyderabad
952,3 BHK Apartment,Kukatpally,158.0,5500,2880.0,Under Construction,Hyderabad
953,3 BHK Apartment,Moosapet,91.3,5500,1660.0,Under Construction,Hyderabad
954,3 BHK Apartment,Kondapur,162.0,6800,2390.0,Under Construction,Hyderabad
955,3 BHK Apartment,Kondapur,156.0,6801,2298.0,Under Construction,Hyderabad
956,3 BHK Apartment,Nizampet,107.0,6300,1700.0,Under Construction,Hyderabad
957,2 BHK Apartment,Kukatpally,68.13,4699,1450.0,Under Construction,Hyderabad
958,3 BHK Apartment,Narsingi,147.0,6800,2170.0,Under Construction,Hyderabad
959,4 BHK Apartment,Kukatpally,115.0,4699,2450.0,Under Construction,Hyderabad
960,2 BHK Apartment,Bandlaguda Jagir,63.52,5040,1260.0,Under Construction,Hyderabad
961,3 BHK Apartment,Patancheru,63.58,5299,1200.0,Under Construction,Hyderabad
962,2 BHK Apartment,Patancheru,51.24,5299,967.0,Under Construction,Hyderabad
963,2 BHK Apartment,Patancheru,49.33,5299,931.0,Under Construction,Hyderabad
964,1 BHK Apartment,Patancheru,37.09,5299,700.0,Under Construction,Hyderabad
965,3 BHK Apartment,Kokapet,153.0,7500,2049.0,Under Construction,Hyderabad
966,3 BHK Apartment,Kokapet,153.0,7500,2050.0,Under Construction,Hyderabad
967,3 BHK Apartment,Kokapet,132.0,7500,1770.0,Under Construction,Hyderabad
968,3 BHK Apartment,Kokapet,132.0,7500,1765.0,Under Construction,Hyderabad
969,3 BHK Apartment,Kokapet,130.0,7500,1390.0,Under Construction,Hyderabad
970,3 BHK Apartment,Patancheru,63.74,5299,1203.0,Under Construction,Hyderabad
971,3 BHK Apartment,Patancheru,63.37,5299,1196.0,Under Construction,Hyderabad
972,2 BHK Apartment,Patancheru,51.08,5299,964.0,Under Construction,Hyderabad
973,1 BHK Apartment,Patancheru,40.74,5299,769.0,Under Construction,Hyderabad
974,3 BHK Apartment,Kondapur,170.0,7900,2160.0,Under Construction,Hyderabad
975,3 BHK Apartment,Kondapur,167.0,7900,2125.0,Under Construction,Hyderabad
976,3 BHK Apartment,Kondapur,164.0,7900,2080.0,Under Construction,Hyderabad
977,3 BHK Apartment,Kondapur,160.0,7900,2035.0,Under Construction,Hyderabad
978,3 BHK Apartment,Kondapur,154.0,7900,1960.0,Under Construction,Hyderabad
979,3 BHK Apartment,Kondapur,153.0,7900,1945.0,Under Construction,Hyderabad
980,3 BHK Apartment,Manikonda,150.0,9756,1545.0,Under Construction,Hyderabad
981,2 BHK Apartment,Manikonda,96.0,9796,980.0,Under Construction,Hyderabad
982,2 BHK Apartment,Manikonda,120.0,9796,1230.0,Under Construction,Hyderabad
983,2 BHK Apartment,Manikonda,112.0,9796,1150.0,Under Construction,Hyderabad
984,2 BHK Apartment,Manikonda,118.0,8835,1340.0,Under Construction,Hyderabad
985,2 BHK Apartment,Manikonda,109.0,8835,1245.0,Under Construction,Hyderabad
986,3 BHK Apartment,Bachupally,103.0,6650,1556.0,Under Construction,Hyderabad
987,3 BHK Apartment,Bachupally,86.05,6650,1294.0,Under Construction,Hyderabad
988,2 BHK Apartment,Bachupally,69.49,6650,1045.0,Under Construction,Hyderabad
989,3 BHK Apartment,Hafeezpet,107.0,5999,1791.0,Under Construction,Hyderabad
990,3 BHK Apartment,Hafeezpet,114.0,5999,1906.0,Under Construction,Hyderabad
991,3 BHK Apartment,Hafeezpet,106.0,5999,1771.0,Under Construction,Hyderabad
992,3 BHK Apartment,Hafeezpet,103.0,5999,1726.0,Under Construction,Hyderabad
993,3 BHK Apartment,Hafeezpet,116.0,5999,1941.0,Under Construction,Hyderabad
994,3 BHK Apartment,Hafeezpet,114.0,5999,1911.0,Under Construction,Hyderabad
995,3 BHK Apartment,Hafeezpet,125.0,5999,2086.0,Under Construction,Hyderabad
996,3 BHK Apartment,Hafeezpet,88.84,5999,1481.0,Under Construction,Hyderabad
997,3 BHK Apartment,Hafeezpet,102.0,5999,1706.0,Under Construction,Hyderabad
998,2 BHK Apartment,Hafeezpet,77.38,5999,1290.0,Under Construction,Hyderabad
999,2 BHK Apartment,Hafeezpet,83.98,5999,1400.0,Under Construction,Hyderabad
1000,2 BHK Apartment,Miyapur,76.7,6500,1180.0,Under Construction,Hyderabad
1001,2 BHK Apartment,Miyapur,79.1,6500,1217.0,Under Construction,Hyderabad
1002,2 BHK Apartment,Miyapur,78.58,6500,1209.0,Under Construction,Hyderabad
1003,2 BHK Apartment,Miyapur,81.83,6500,1259.0,Under Construction,Hyderabad
1004,2 BHK Apartment,Miyapur,76.05,6500,1170.0,Under Construction,Hyderabad
1005,3 BHK Villa,Mokila,603.0,10500,3910.0,Ready to move,Hyderabad
1006,2 BHK Apartment,Miyapur,78.97,6500,1215.0,Under Construction,Hyderabad
1007,3 BHK Villa,Mokila,600.0,10500,3890.0,Ready to move,Hyderabad
1008,2 BHK Apartment,Miyapur,81.64,6500,1256.0,Under Construction,Hyderabad
1009,2 BHK Apartment,Miyapur,80.86,6500,1244.0,Under Construction,Hyderabad
1010,2 BHK Apartment,Miyapur,79.62,6500,1225.0,Under Construction,Hyderabad
1011,2 BHK Apartment,Miyapur,80.01,6500,1231.0,Under Construction,Hyderabad
1012,4 BHK Apartment,Narsingi,190.0,7500,2540.0,Under Construction,Hyderabad
1013,2 BHK Apartment,Miyapur,76.26,6500,1173.0,Under Construction,Hyderabad
1014,3 BHK Apartment,Narsingi,115.0,7500,1535.0,Under Construction,Hyderabad
1015,3 BHK Apartment,Narsingi,140.0,7500,1875.0,Under Construction,Hyderabad
1016,3 BHK Apartment,Miyapur,102.0,6500,1572.0,Under Construction,Hyderabad
1017,2 BHK Apartment,Miyapur,97.5,6500,1500.0,Under Construction,Hyderabad
1018,4 BHK Apartment,Narsingi,197.0,7500,2630.0,Under Construction,Hyderabad
1019,2 BHK Apartment,Miyapur,96.85,6500,1490.0,Under Construction,Hyderabad
1020,3 BHK Apartment,Kondapur,158.0,7000,2265.0,Under Construction,Hyderabad
1021,3 BHK Apartment,Rajendra Nagar,83.43,6518,1280.0,Ready to move,Hyderabad
1022,3 BHK Apartment,Kondapur,155.0,7000,2225.0,Under Construction,Hyderabad
1023,3 BHK Apartment,Rajendra Nagar,86.49,6518,1327.0,Ready to move,Hyderabad
1024,3 BHK Apartment,Rajendra Nagar,85.99,6495,1324.0,Ready to move,Hyderabad
1025,3 BHK Apartment,Kondapur,151.0,7000,2160.0,Under Construction,Hyderabad
1026,3 BHK Apartment,Rajendra Nagar,85.64,6518,1314.0,Ready to move,Hyderabad
1027,3 BHK Apartment,Rajendra Nagar,85.51,6518,1312.0,Ready to move,Hyderabad
1028,3 BHK Apartment,Rajendra Nagar,83.43,6518,1280.0,Ready to move,Hyderabad
1029,3 BHK Apartment,Rajendra Nagar,86.49,6518,1327.0,Ready to move,Hyderabad
1030,3 BHK Apartment,Rajendra Nagar,85.99,6495,1324.0,Ready to move,Hyderabad
1031,3 BHK Apartment,Rajendra Nagar,94.99,7224,1315.0,Ready to move,Hyderabad
1032,3 BHK Apartment,Rajendra Nagar,85.64,6518,1314.0,Ready to move,Hyderabad
1033,3 BHK Apartment,Rajendra Nagar,85.51,6518,1312.0,Ready to move,Hyderabad
1034,3 BHK Apartment,Rajendra Nagar,83.43,6518,1280.0,Ready to move,Hyderabad
1035,3 BHK Apartment,Rajendra Nagar,88.2,7224,1221.0,Ready to move,Hyderabad
1036,3 BHK Apartment,Rajendra Nagar,85.64,6518,1314.0,Ready to move,Hyderabad
1037,3 BHK Apartment,Rajendra Nagar,86.49,6518,1327.0,Ready to move,Hyderabad
1038,3 BHK Apartment,Rajendra Nagar,79.58,6518,1221.0,Ready to move,Hyderabad
1039,3 BHK Apartment,Kondapur,150.0,7000,2150.0,Under Construction,Hyderabad
1040,4 BHK Apartment,Kokapet,584.0,8900,6566.0,Under Construction,Hyderabad
1041,2 BHK Apartment,Sanath Nagar,91.21,6000,1520.0,Under Construction,Hyderabad
1042,2 BHK Apartment,Sanath Nagar,84.42,6000,1407.0,Under Construction,Hyderabad
1043,2 BHK Apartment,Sanath Nagar,77.53,6000,1292.0,Under Construction,Hyderabad
1044,4 BHK Apartment,Puppalaguda,235.0,8678,2708.0,Ready to move,Hyderabad
1045,2 BHK Apartment,Sanath Nagar,84.28,6000,1405.0,Under Construction,Hyderabad
1046,2 BHK Apartment,Sanath Nagar,76.71,6000,1279.0,Under Construction,Hyderabad
1047,2 BHK Apartment,Sanath Nagar,76.18,6000,1270.0,Under Construction,Hyderabad
1048,2 BHK Apartment,Sanath Nagar,77.41,6000,1290.0,Under Construction,Hyderabad
1049,2 BHK Apartment,Sanath Nagar,79.41,6000,1324.0,Under Construction,Hyderabad
1050,4 BHK Apartment,Puppalaguda,199.0,7000,2848.0,Ready to move,Hyderabad
1051,4 BHK Apartment,Puppalaguda,189.0,7000,2713.0,Ready to move,Hyderabad
1052,4 BHK Apartment,Narsingi,232.0,7699,3020.0,Under Construction,Hyderabad
1053,3 BHK Apartment,Narsingi,167.0,7699,2180.0,Under Construction,Hyderabad
1054,3 BHK Apartment,Narsingi,166.0,7699,2165.0,Under Construction,Hyderabad
1055,3 BHK Apartment,Narsingi,166.0,7699,2160.0,Under Construction,Hyderabad
1056,3 BHK Apartment,Narsingi,147.0,7699,1915.0,Under Construction,Hyderabad
1057,4 BHK Apartment,Nanakramguda,310.0,7150,4340.0,Ready to move,Hyderabad
1058,3 BHK Apartment,Nanakramguda,180.0,8153,2220.0,Under Construction,Hyderabad
1059,3 BHK Apartment,Nanakramguda,167.0,7576,2210.0,Under Construction,Hyderabad
1060,2 BHK Apartment,Rajendra Nagar,61.33,6518,941.0,Ready to move,Hyderabad
1061,3 BHK Apartment,Manikonda,145.0,7750,1875.0,Under Construction,Hyderabad
1062,4 BHK Apartment,Toli Chowki,302.0,7500,4037.0,Ready to move,Hyderabad
1063,2 BHK Apartment,Appa Junction Peerancheru,85.9,5500,1562.0,Under Construction,Hyderabad
1064,4 BHK Apartment,Toli Chowki,271.0,7500,3620.0,Ready to move,Hyderabad
1065,2 BHK Apartment,Rajendra Nagar,61.26,6518,940.0,Ready to move,Hyderabad
1066,3 BHK Apartment,Toli Chowki,269.0,7500,3593.0,Ready to move,Hyderabad
1067,3 BHK Apartment,Appa Junction Peerancheru,91.24,5500,1659.0,Under Construction,Hyderabad
1068,4 BHK Villa,Kismatpur,290.0,8500,3403.0,Ready to move,Hyderabad
1069,3 BHK Apartment,Manikonda,137.0,7750,1780.0,Under Construction,Hyderabad
1070,2 BHK Apartment,Rajendra Nagar,60.94,6518,935.0,Ready to move,Hyderabad
1071,3 BHK Apartment,Toli Chowki,192.0,7500,2563.0,Ready to move,Hyderabad
1072,3 BHK Apartment,Appa Junction Peerancheru,91.46,5500,1663.0,Under Construction,Hyderabad
1073,2 BHK Apartment,Rajendra Nagar,60.68,6518,931.0,Ready to move,Hyderabad
1074,2 BHK Apartment,Manikonda,90.83,7750,1172.0,Under Construction,Hyderabad
1075,2 BHK Apartment,Rajendra Nagar,60.55,6518,929.0,Ready to move,Hyderabad
1076,3 BHK Apartment,Appa Junction Peerancheru,91.63,5500,1666.0,Under Construction,Hyderabad
1077,2 BHK Apartment,Manikonda,79.82,7750,1030.0,Under Construction,Hyderabad
1078,2 BHK Apartment,Rajendra Nagar,61.33,6518,941.0,Ready to move,Hyderabad
1079,3 BHK Apartment,Appa Junction Peerancheru,94.21,5500,1713.0,Under Construction,Hyderabad
1080,3 BHK Apartment,Appa Junction Peerancheru,98.34,5500,1788.0,Ready to move,Hyderabad
1081,3 BHK Apartment,Kondapur,142.0,7300,1955.0,Under Construction,Hyderabad
1082,3 BHK Apartment,Kokapet,115.0,6500,1770.0,Ready to move,Hyderabad
1083,4 BHK Villa,Kismatpur,439.0,9300,4729.0,Ready to move,Hyderabad
1084,3 BHK Apartment,Appa Junction Peerancheru,93.88,5500,1707.0,Ready to move,Hyderabad
1085,4 BHK Villa,Kismatpur,478.0,9300,5143.0,Ready to move,Hyderabad
1086,3 BHK Apartment,Appa Junction Peerancheru,108.0,5500,1972.0,Ready to move,Hyderabad
1087,4 BHK Villa,Nallagandla Gachibowli,307.0,6265,3990.0,Ready to move,Hyderabad
1088,3 BHK Apartment,Appa Junction Peerancheru,108.0,5500,1966.0,Ready to move,Hyderabad
1089,1 BHK Apartment,Rajendra Nagar,48.0,7869,610.0,Ready to move,Hyderabad
1090,3 BHK Apartment,Appa Junction Peerancheru,98.12,5500,1784.0,Ready to move,Hyderabad
1091,1 RK Studio Apartment,Rajendra Nagar,33.99,8947,380.0,Ready to move,Hyderabad
1092,4 BHK Villa,Nallagandla Gachibowli,510.0,13000,3925.0,Ready to move,Hyderabad
1093,2 BHK Apartment,Appa Junction Peerancheru,106.0,6800,1568.0,Ready to move,Hyderabad
1094,4 BHK Villa,Nallagandla Gachibowli,506.0,13000,3895.0,Ready to move,Hyderabad
1095,1 BHK Apartment,Rajendra Nagar,39.99,6745,593.0,Ready to move,Hyderabad
1096,3 BHK Apartment,Appa Junction Peerancheru,113.0,6800,1663.0,Ready to move,Hyderabad
1097,4 BHK Villa,Nallagandla Gachibowli,241.0,6265,3140.0,Ready to move,Hyderabad
1098,4 BHK Villa,Nallagandla Gachibowli,264.0,6265,3440.0,Ready to move,Hyderabad
1099,3 BHK Apartment,Appa Junction Peerancheru,111.0,6800,1642.0,Ready to move,Hyderabad
1100,1 RK Studio Apartment,Rajendra Nagar,33.99,8947,380.0,Ready to move,Hyderabad
1101,4 BHK Villa,Nallagandla Gachibowli,510.0,13000,3925.0,Ready to move,Hyderabad
1102,2 BHK Apartment,Appa Junction Peerancheru,106.0,6800,1568.0,Ready to move,Hyderabad
1103,4 BHK Villa,Nallagandla Gachibowli,506.0,13000,3895.0,Ready to move,Hyderabad
1104,1 BHK Apartment,Rajendra Nagar,39.99,6745,593.0,Ready to move,Hyderabad
1105,3 BHK Apartment,Appa Junction Peerancheru,113.0,6800,1663.0,Ready to move,Hyderabad
1106,4 BHK Villa,Nallagandla Gachibowli,241.0,6265,3140.0,Ready to move,Hyderabad
1107,4 BHK Villa,Nallagandla Gachibowli,264.0,6265,3440.0,Ready to move,Hyderabad
1108,3 BHK Apartment,Appa Junction Peerancheru,111.0,6800,1642.0,Ready to move,Hyderabad
1109,1 RK Studio Apartment,Rajendra Nagar,25.99,6860,379.0,Ready to move,Hyderabad
1110,4 BHK Villa,Nallagandla Gachibowli,291.0,6265,3780.0,Ready to move,Hyderabad
1111,3 BHK Apartment,Appa Junction Peerancheru,111.0,6800,1638.0,Ready to move,Hyderabad
1112,2 BHK Apartment,Bolarum,55.0,4500,842.0,Under Construction,Hyderabad
1113,3 BHK Apartment,Rajendra Nagar,77.75,6518,1193.0,Ready to move,Hyderabad
1114,4 BHK Villa,Nallagandla Gachibowli,284.0,6265,3700.0,Ready to move,Hyderabad
1115,4 BHK Villa,Nallagandla Gachibowli,276.0,6265,3595.0,Ready to move,Hyderabad
1116,3 BHK Apartment,Rajendra Nagar,71.5,6518,1097.0,Ready to move,Hyderabad
1117,3 BHK Apartment,Appa Junction Peerancheru,111.0,6800,1633.0,Ready to move,Hyderabad
1118,4 BHK Villa,Nallagandla Gachibowli,275.0,6265,3580.0,Ready to move,Hyderabad
1119,3 BHK Apartment,Rajendra Nagar,71.17,6518,1092.0,Ready to move,Hyderabad
1120,3 BHK Apartment,Nanakramguda,100.0,6400,1565.0,Under Construction,Hyderabad
1121,3 BHK Apartment,Nanakramguda,112.0,6400,1765.0,Under Construction,Hyderabad
1122,3 BHK Apartment,Nanakramguda,94.4,6400,1475.0,Under Construction,Hyderabad
1123,2 BHK Apartment,Nanakramguda,88.64,6400,1385.0,Under Construction,Hyderabad
1124,3 BHK Apartment,Nanakramguda,92.8,6400,1450.0,Under Construction,Hyderabad
1125,2 BHK Apartment,Nanakramguda,73.6,6400,1150.0,Under Construction,Hyderabad
1126,3 BHK Villa,Tellapur,255.0,7000,3399.0,Ready to move,Hyderabad
1127,3 BHK Villa,Tellapur,233.0,7000,3333.0,Ready to move,Hyderabad
1128,3 BHK Villa,Tellapur,270.0,7000,3600.0,Ready to move,Hyderabad
1129,2 BHK Apartment,Puppalaguda,124.0,7200,1725.0,Under Construction,Hyderabad
1130,2 BHK Apartment,Puppalaguda,108.0,7200,1500.0,Under Construction,Hyderabad
1131,3 BHK Apartment,Pocharam,81.05,5495,1475.0,Under Construction,Hyderabad
1132,3 BHK Apartment,Pocharam,85.5,4500,1900.0,Under Construction,Hyderabad
1133,3 BHK Apartment,Pocharam,74.92,4500,1665.0,Under Construction,Hyderabad
1134,2 BHK Apartment,Pocharam,56.25,4500,1250.0,Under Construction,Hyderabad
1135,3 BHK Apartment,Kollur,74.72,4998,1495.0,Under Construction,Hyderabad
1136,3 BHK Apartment,Rajendra Nagar,85.71,6518,1315.0,Ready to move,Hyderabad
1137,3 BHK Apartment,Rajendra Nagar,85.71,6518,1315.0,Ready to move,Hyderabad
1138,3 BHK Apartment,Rajendra Nagar,79.58,6518,1221.0,Ready to move,Hyderabad
1139,3 BHK Apartment,Rajendra Nagar,79.58,6518,1221.0,Ready to move,Hyderabad
1140,4 BHK Villa,Rajendra Nagar,1400.0,21591,6484.0,Ready to move,Hyderabad
1141,2 BHK Apartment,Mallampet,39.6,3600,1100.0,Under Construction,Hyderabad
1142,4 BHK Villa,Rajendra Nagar,1400.0,21584,6486.0,Ready to move,Hyderabad
1143,4 BHK Apartment,Kondapur,956.0,15935,5999.0,Under Construction,Hyderabad
1144,2 BHK Apartment,Gandipet,64.96,5800,1120.0,Under Construction,Hyderabad
1145,3 BHK Apartment,Nagaram,62.93,4750,1325.0,Under Construction,Hyderabad
1146,3 BHK Apartment,Kokapet,244.0,11500,2124.0,Ready to move,Hyderabad
1147,2 BHK Apartment,Gandipet,70.18,5800,1210.0,Under Construction,Hyderabad
1148,2 BHK Apartment,Mallampet,37.8,3600,1050.0,Under Construction,Hyderabad
1149,3 BHK Apartment,Toli Chowki,300.0,10186,2945.0,Ready to move,Hyderabad
1150,2 BHK Apartment,Manchirevula,97.25,7780,1250.0,Ready to move,Hyderabad
1151,2 BHK Apartment,Gandipet,69.02,5800,1190.0,Under Construction,Hyderabad
1152,3 BHK Apartment,Uppal,76.0,4750,1600.0,Ready to move,Hyderabad
1153,2 BHK Apartment,Uppal,55.0,4700,1170.0,Ready to move,Hyderabad
1154,3 BHK Apartment,Nagaram,68.87,4750,1450.0,Under Construction,Hyderabad
1155,2 BHK Apartment,Kollur,37.8,3600,1050.0,Under Construction,Hyderabad
1156,3 BHK Apartment,Kokapet,176.0,9072,1940.0,Ready to move,Hyderabad
1157,2 BHK Apartment,Bollaram Industrial Area,37.8,3600,1050.0,Under Construction,Hyderabad
1158,2 BHK Apartment,Serilingampally,37.8,3600,1050.0,Under Construction,Hyderabad
1159,2 BHK Apartment,Kokapet,88.48,7499,1180.0,Under Construction,Hyderabad
1160,4 BHK Independent House,Bandlaguda Jagir,160.0,8888,1800.0,Ready to move,Hyderabad
1161,5 BHK Villa,Gachibowli,1075.0,20673,5200.0,Ready to move,Hyderabad
1162,3 BHK Villa,Bandlaguda Jagir,210.0,7500,2800.0,Under Construction,Hyderabad
1163,3 BHK Villa,Kismatpur,210.0,7500,2800.0,Under Construction,Hyderabad
1164,3 BHK Apartment,Serilingampally,135.0,7200,1877.0,Under Construction,Hyderabad
1165,2 BHK Apartment,Mallampet,37.8,3600,1050.0,Under Construction,Hyderabad
1166,4 BHK Apartment,Puppalaguda,404.0,8999,4500.0,Under Construction,Hyderabad
1167,4 BHK Villa,Tellapur,850.0,20501,4146.0,Ready to move,Hyderabad
1168,3 BHK Apartment,Serilingampally,135.0,7200,1877.0,Under Construction,Hyderabad
1169,2 BHK Apartment,Manikonda,83.2,6656,1250.0,Under Construction,Hyderabad
1170,2 BHK Apartment,Nagaram,50.72,4372,1160.0,Ready to move,Hyderabad
1171,2 BHK Apartment,Isnapur,39.0,4262,915.0,Ready to move,Hyderabad
1172,2 BHK Apartment,Isnapur,39.0,4262,915.0,Ready to move,Hyderabad
1173,2 BHK Apartment,Nagaram,51.14,4370,1170.0,Ready to move,Hyderabad
1174,4 BHK Independent House,Bandlaguda Jagir,163.0,7409,2200.0,Ready to move,Hyderabad
1175,3 BHK Apartment,Serilingampally,182.0,7200,2540.0,Under Construction,Hyderabad
1176,3 BHK Apartment,Kondapur,140.0,7200,1958.0,Under Construction,Hyderabad
1177,3 BHK Apartment,Manikonda,88.04,6200,1420.0,Under Construction,Hyderabad
1178,3 BHK Independent Floor,Sainikpuri,129.0,6142,2100.0,Ready to move,Hyderabad
1179,3 BHK Apartment,Narsingi,93.06,6200,1501.0,Under Construction,Hyderabad
1180,2 BHK Apartment,LB Nagar,74.8,5798,1290.0,Ready to move,Hyderabad
1181,3 BHK Apartment,Kondapur,106.0,6800,1571.0,Under Construction,Hyderabad
1182,2 BHK Apartment,LB Nagar,78.0,5777,1350.0,Ready to move,Hyderabad
1183,2 BHK Apartment,Pocharam,58.0,4636,1251.0,Ready to move,Hyderabad
1184,2 BHK Apartment,LB Nagar,74.8,5798,1290.0,Ready to move,Hyderabad
1185,2 BHK Apartment,Bandlaguda Jagir,98.9,6820,1450.0,Under Construction,Hyderabad
1186,4 BHK Independent House,Banjara Hills,1735.0000000000002,34700,5000.0,Ready to move,Hyderabad
1187,4 BHK Apartment,Kapra,189.0,6000,3150.0,Under Construction,Hyderabad
1188,2 BHK Apartment,Patancheru,32.0,3152,1015.0,Ready to move,Hyderabad
1189,3 BHK Apartment,Sainikpuri,85.0,5182,1640.0,Ready to move,Hyderabad
1190,3 BHK Apartment,AS Rao Nagar,130.0,6190,2100.0,Ready to move,Hyderabad
1191,Residential Plot,Habsiguda,340.0,18888,1800.0,Resale,Hyderabad
1192,Residential Plot,Shadnagar,32.13,21000,153.0,New,Hyderabad
1193,Residential Plot,Tarnaka,696.0,12222,5697.0,Resale,Hyderabad
1194,Residential Plot,Indresham,26.62,11000,242.0,New,Hyderabad
1195,Residential Plot,Habsiguda,975.0,16111,6057.0,Resale,Hyderabad
1196,Residential Plot,Maheshwaram,36.67,2500,1467.0,New,Hyderabad
1197,Residential Plot,Shadnagar,31.92,2333,1368.0,New,Hyderabad
1198,Residential Plot,Shadnagar,31.71,2333,1359.0,New,Hyderabad
1199,Residential Plot,Indresham,26.61,1222,2178.0,New,Hyderabad
1200,4 BHK Villa,Kollur,675.0,16280,4146.0,Ready to move,Hyderabad
1201,4 BHK Villa,Tellapur,576.0,17871,3223.0,Ready to move,Hyderabad
1202,2 BHK Apartment,Manikonda,91.59,8600,1065.0,Ready to move,Hyderabad
1203,2 BHK Apartment,Mallampet,39.0,3714,1050.0,Under Construction,Hyderabad
1204,3 BHK Apartment,Velimela,105.0,6306,1665.0,Under Construction,Hyderabad
1205,4 BHK Independent House,Puppalaguda,280.0,8000,3500.0,Ready to move,Hyderabad
1206,2 BHK Apartment,Patancheru,39.0,3714,1050.0,Under Construction,Hyderabad
1207,3 BHK Apartment,Manikonda,200.0,8988,2235.0,Ready to move,Hyderabad
1208,3 BHK Villa,Nagaram,150.0,7352,2040.0,Ready to move,Hyderabad
1209,4 BHK Independent House,Sainikpuri,985.0,15153,6500.0,Ready to move,Hyderabad
1210,4 BHK Villa,Sainikpuri,800.0,15384,5200.0,Ready to move,Hyderabad
1211,3 BHK Independent House,Sainikpuri,385.0,11000,3500.0,Ready to move,Hyderabad
1212,3 BHK Independent House,Kismatpur,155.0,6888,2250.0,Under Construction,Hyderabad
1213,3 BHK Apartment,Nagole,132.0,6600,2000.0,Ready to move,Hyderabad
1214,2 BHK Apartment,Nallagandla Gachibowli,89.6,7000,1280.0,Under Construction,Hyderabad
1215,2 BHK Apartment,Nallagandla Gachibowli,80.5,7000,1150.0,Under Construction,Hyderabad
1216,Residential Plot,Shamshabad,270.0,5000,5405.0,New,Hyderabad
1217,Residential Plot,Shamshabad,222.00000000000003,5000,4446.0,New,Hyderabad
1218,Residential Plot,Shamshabad,124.0,5000,2485.0,New,Hyderabad
