city,location,region,bhk,total_sqft,property_type,availability,price
Mumbai,Siddhivinayak Siddhivinayak Gaurav,Taloja,1.0,695.0,Apartment,Under Construction,31.8
Mumbai,Sai Shrushti Vatika,Thane West,1.0,270.0,Studio Apartment,Under Construction,20.39
Mumbai,Piramal S Class Homes,Mulund West,2.0,625.0,Apartment,Under Construction,147.0
Mumbai,Rishabraj Vicinia,Ghatkopar East,2.0,639.0,Apartment,Under Construction,191.0
Mumbai,Qualitas QN Greens Phase 1,Taloja,2.0,614.0,Apartment,Ready to move,44.44
Mumbai,Precious Group Precious Meadows,Ulhasnagar,1.0,365.0,Apartment,Under Construction,29.02
Mumbai,Tulip Empire,Ulwe,1.0,750.0,Apartment,Under Construction,57.0
Mumbai,Radheya Sai Enclave Building No 2,Naigaon East,1.0,425.0,Apartment,Under Construction,33.49
Mumbai,Romell Serene,Borivali West,3.0,845.0,Apartment,Under Construction,235.0
Mumbai,Origin Oriana,Mira Road East,1.0,473.0,Apartment,Under Construction,69.65
Mumbai,Radheya Sai Enclave Building No 2,Naigaon East,2.0,618.0,Apartment,Under Construction,50.5
Mumbai,Radheya Sai Enclave Building No 2,Naigaon East,1.0,430.0,Apartment,Under Construction,34.91
Mumbai,Ashapura Mokshit Majesta,Dombivali,1.0,425.0,Apartment,Under Construction,36.0
Mumbai,Ashapura Mokshit Majesta,Dombivali,2.0,651.0,Apartment,Under Construction,56.0
Mumbai,Origin Oriana,Mira Road East,3.0,946.0,Apartment,Under Construction,138.0
Mumbai,Origin Oriana,Mira Road East,2.0,667.0,Apartment,Under Construction,94.99
Mumbai,Origin Oriana,Mira Road East,2.0,682.0,Apartment,Under Construction,97.14
Mumbai,Bhoomi Simana Wing A Phase 1,Parel,3.0,1133.0,Apartment,Under Construction,479.0
Mumbai,Agami Estancia,Boisar,3.0,2187.0,Villa,Under Construction,149.0
Mumbai,Sanghvi Infenia,Santacruz East,2.0,579.0,Apartment,Under Construction,181.0
Mumbai,Shubh Shreeji Heights,Badlapur East,2.0,486.0,Apartment,Ready to move,36.0
Mumbai,Shubh Shreeji Heights,Badlapur East,1.0,361.0,Apartment,Ready to move,28.0
Mumbai,Shubh Shreeji Heights,Badlapur East,1.0,377.0,Apartment,Ready to move,28.2
Mumbai,Shubh Shreeji Heights,Badlapur East,1.0,382.0,Apartment,Ready to move,28.61
Mumbai,A Plus Golden Corner,Badlapur West,1.0,535.0,Apartment,Under Construction,17.65
Mumbai,A Plus Golden Corner,Badlapur West,1.0,565.0,Apartment,Under Construction,18.64
Mumbai,A Plus Golden Corner,Badlapur West,1.0,380.0,Studio Apartment,Under Construction,13.68
Mumbai,A Plus Golden Veda,Badlapur West,1.0,345.0,Apartment,Ready to move,19.91
Mumbai,A Plus Golden Veda,Badlapur West,1.0,352.0,Apartment,Ready to move,20.5
Mumbai,A Plus Golden Veda,Badlapur West,1.0,294.0,Apartment,Ready to move,16.0
Mumbai,A Plus Golden Veda,Badlapur West,1.0,366.0,Apartment,Ready to move,21.28
Mumbai,A Plus Golden Veda,Badlapur West,1.0,333.0,Apartment,Ready to move,19.33
Mumbai,A Plus Golden Veda,Badlapur West,1.0,358.0,Apartment,Ready to move,20.89
Mumbai,A Plus Golden Veda,Badlapur West,1.0,372.0,Apartment,Ready to move,21.67
Mumbai,A Plus Golden Veda,Badlapur West,1.0,380.0,Apartment,Ready to move,22.06
Mumbai,Unimont Imperia,Khopoli,1.0,675.0,Apartment,Under Construction,30.0
Mumbai,Unimont Imperia,Khopoli,2.0,970.0,Apartment,Under Construction,42.75
Mumbai,Unimont Imperia,Khopoli,1.0,605.0,Apartment,Under Construction,26.5
Mumbai,Unimont Imperia,Khopoli,1.0,555.0,Apartment,Under Construction,24.0
Mumbai,Unimont Imperia,Khopoli,1.0,665.0,Apartment,Under Construction,29.5
Mumbai,Unimont Imperia,Khopoli,1.0,615.0,Apartment,Under Construction,27.0
Mumbai,Unimont Imperia,Khopoli,2.0,975.0,Apartment,Under Construction,43.0
Mumbai,Unimont Imperia,Khopoli,1.0,535.0,Apartment,Under Construction,22.0
Mumbai,Unimont Imperia,Khopoli,1.0,545.0,Apartment,Under Construction,23.5
Mumbai,Unimont Imperia,Khopoli,2.0,930.0,Apartment,Under Construction,41.0
Mumbai,Unimont Imperia,Khopoli,1.0,565.0,Apartment,Under Construction,24.5
Mumbai,Aayush Gulmohar,Chembur,2.0,543.0,Apartment,Under Construction,128.0
Mumbai,Aayush Gulmohar,Chembur,2.0,859.0,Apartment,Under Construction,202.0
Mumbai,Aayush Gulmohar,Chembur,2.0,590.0,Apartment,Under Construction,139.0
Mumbai,Aayush Gulmohar,Chembur,1.0,430.0,Apartment,Under Construction,101.0
Mumbai,Aayush Gulmohar,Chembur,2.0,705.0,Apartment,Under Construction,166.0
Mumbai,Aayush Gulmohar,Chembur,1.0,421.0,Apartment,Under Construction,99.0
Mumbai,Roswalt Zaiden,Jogeshwari West,2.0,610.0,Apartment,Under Construction,156.0
Mumbai,Angel Falcon Emerald Dunlin,Vasai,2.0,708.0,Apartment,Under Construction,74.62
Mumbai,Angel Falcon Emerald Dunlin,Vasai,2.0,691.0,Apartment,Under Construction,72.81
Mumbai,Angel Falcon Emerald Dunlin,Vasai,2.0,829.0,Apartment,Under Construction,87.21
Mumbai,Angel Falcon Emerald Dunlin,Vasai,2.0,680.0,Apartment,Under Construction,71.01
Mumbai,Angel Falcon Emerald Dunlin,Vasai,2.0,695.0,Apartment,Under Construction,73.21
Mumbai,Angel Falcon Emerald Dunlin,Vasai,2.0,749.0,Apartment,Under Construction,79.89
Mumbai,Angel Falcon Emerald Dunlin,Vasai,3.0,1014.0,Apartment,Under Construction,106.0
Mumbai,Proviso SaiProviso County,Panvel,1.0,461.0,Apartment,Under Construction,38.0
Mumbai,Proviso SaiProviso County,Panvel,2.0,608.0,Apartment,Under Construction,46.0
Mumbai,Godrej Urban Park,Powai,1.0,431.0,Apartment,Under Construction,135.0
Mumbai,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Kalamboli,1.0,454.0,Apartment,Under Construction,63.0
Mumbai,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Kalamboli,1.0,490.0,Apartment,Under Construction,58.0
Mumbai,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Kalamboli,2.0,1091.0,Apartment,Under Construction,131.0
