city,ndvi,ndbi,nightlight
Mumbai,-0.2826086956521739,-0.45054945054945056,0.2787500023841858
Pune,-0.27505330490405117,-0.4166666666666667,0.3725000023841858
Bangalore,-0.2545454545454545,-0.5769230769230769,
Delhi,-0.026152874289324068,-0.8677005088441968,
Hyderabad,-0.11506031910753664,-0.9254868755292125,
