city,region,latitude,longitude
Mumbai,Virar East,19.4579689,72.8142138
Mumbai,Khar West,19.0752179,72.8337907
Mumbai,Sector 8 New panvel,19.0594069,72.9602962
Mumbai,Rabale,19.1366355,73.0027824
Mumbai,Bhayandar West,19.3101847,72.8526988
Mumbai,Sector 20 Ulwe,18.9707794,73.0215336
Mumbai,Sector 22 Kamothe,19.0173837,73.0954838
Mumbai,Sector 21 Nerul,19.0370909,73.0233188
Mumbai,Bandra Kurla Complex,19.067115,72.8657245
Mumbai,Sector 14 Vashi,19.0318761,72.8882146
Mumbai,Mumbai Central,18.9695855,72.8193152
Mumbai,Virar West,19.4533576,72.8057966
Mumbai,Sector 11 Koparkhairane,19.106806,73.0009987
Mumbai,Unnat Nagar,19.1619,72.8425
Mumbai,Diva,19.2300117,73.0281438
Mumbai,Palava,19.1646091,73.1127841
Mumbai,Dombivali East,19.2140507,73.0998038
Mumbai,Sector-14 Koparkhairane,19.1055927,72.9982432
Mumbai,Greater Khanda,19.0128151,73.0992675
Mumbai,Sector-35D Kharghar,19.0525298,73.0735111
Mumbai,Umroli,19.7557614,72.7604506
Mumbai,Sector-9 Ulwe,18.9707794,73.0215336
Mumbai,Govandi,19.0553688,72.9150702
Mumbai,vile parle west,19.103908,72.840301
Mumbai,MATUNGA WEST,19.0317259,72.8433917
Mumbai,Sector-3 Ulwe,18.9707794,73.0215336
Mumbai,kasaradavali thane west,19.0781806,72.8677752
Mumbai,Kurla East,19.0628944,72.8825604
Mumbai,Pestom Sagar Colony,19.0692541,72.9019227
Mumbai,Sector 12 Kharghar,19.0448864,73.0643216
Mumbai,Police Colony,19.0470382,72.842896
Mumbai,Dahisar West,19.248875,72.852959
Mumbai,Marine Lines,18.945764,72.8237193
Mumbai,Sector 19 Kharghar,19.0468627,73.0814208
Mumbai,Kalher,19.2470586,73.0162096
Mumbai,Hindu Colony,19.0199623,72.8478929
Mumbai,Dahisar East,19.2486925,72.8640593
Mumbai,Sector 9 Vashi,19.0318761,72.8882146
Mumbai,Khardi,19.5848248,73.388417
Mumbai,Babulnath Road,19.0781806,72.8677752
Mumbai,Sector 21 Kharghar,19.0525298,73.0735111
Mumbai,Dharavi,19.044463,72.8586177
Mumbai,Vasind,19.4115443,73.2691755
Mumbai,Tilak Nagar,19.0657855,72.8904702
Mumbai,Ashok nagar,19.0529955,72.8797876
Mumbai,Antop Hill,19.0301805,72.8669504
Mumbai,Peddar Road,18.97538,72.8090732
Mumbai,Kamathipura,18.9653224,72.8264349
Mumbai,Usarghar Gaon,19.182137,73.070512
Mumbai,Ambarnath,19.136208,72.816827
Mumbai,Patlipada,19.2493501,72.9760694
Mumbai,Vevoor,19.0781806,72.8677752
Mumbai,Shelu,20.3972518,77.2311511
Mumbai,Kurla West,19.0686026,72.876583
Mumbai,Goregaon,19.1648688,72.8495492
Mumbai,Naupada,19.0829619,72.8889865
Mumbai,Bhoiwada,19.0050981,72.846061
Mumbai,Sector 7 Kharghar,19.0341874,73.0677397
Mumbai,Roadpali,19.0392786,73.0992311
Mumbai,Sector-9 Kamothe,19.0173837,73.0954838
Mumbai,Borivali,19.229068,72.8573628
Mumbai,Badlapur,19.1666237,73.2389064
Mumbai,Khanda Colony,19.0098345,73.1081097
Mumbai,Dombivli (West),19.2221822,73.0809274
Mumbai,GTB Nagar,19.0380048,72.8643455
Mumbai,Bandra,19.0549792,72.8402203
Mumbai,kandivali,19.2041136,72.8517376
Mumbai,Mahavir Nagar,19.2149882,72.8378643
Mumbai,Churchgate,18.9354797,72.8271741
Mumbai,Pali Hill,19.0649126,72.8270326
Mumbai,Manpada,19.2314156,72.9738156
Mumbai,Sector-50 Seawoods,19.0097792,73.0170705
Mumbai,Uttan,19.2532885,72.7904864
Mumbai,Gauripada,19.2492992,73.1493443
Mumbai,Gandhar Nagar,19.2615338,73.1352995
Mumbai,Mahim West,19.0498954,72.8375028
Mumbai,Warai,19.0739171,73.3509648
Mumbai,mumbai,19.054999,72.8692035
Mumbai,Khatiwali,19.0686026,72.876583
Mumbai,Chandivali,19.1091482,72.8945793
Mumbai,Mumbra,19.2126187,73.0073993
Mumbai,Chembur East,19.0477777,72.8780364
Mumbai,Malabar Hill,18.9581616,72.8033665
Mumbai,sector,19.028923,72.8666936
Mumbai,Uran,19.0375563,73.0290014
Mumbai,Manjarli,19.1745451,73.2375331
