location,min_price_sqft,max_price_sqft,avg_price_sqft,price_trend,rent_2bhk,rent_3bhk,rent_4bhk,rent_5bhk,rent_others,city
Erandwane,9945.0,11772.0,10858.5,4.84%,"9,588 - 11,985",Rs.,"15,342 - 17,765",Rs.,"24,650 - 29,580",Pune
Fatima Nagar,5610.0,6418.0,6014.0,2.99%,"7,480 - 9,818",Rs.,"11,507 - 14,795",,-,Pune
Fursungi Gaon,3740.0,3910.0,3825.0,2.25%,-,,-,,-,Pune
Gokul Nagar,4250.0,4718.0,4484.0,-8.77%,"6,520 - 8,526",,-,,-,Pune
Hadapsar,4505.0,5822.0,5163.5,7.89%,"7,191 - 9,588",Rs.,"11,638 - 14,963",Rs.,"17,612 - 22,644",Pune
Hadapsar Gaon,4972.0,5525.0,5248.5,0%,"7,888 - 9,367",Rs.,"10,914 - 13,097",,-,Pune
Handewadi,3612.0,4038.0,3825.0,0%,-,,-,,-,Pune
Hingne Khurd,4420.0,5312.0,4866.0,-10%,"5,763 - 7,204",,-,,-,Pune
Hinjewadi,4802.0,5312.0,5057.0,-3.28%,-,Rs.,"11,304 - 13,913",Rs.,"15,025 - 17,529",Pune
Hinjewadi Phase 1,5185.0,6332.0,5758.5,9.92%,-,,-,,-,Pune
Hinjewadi Phase 2,4675.0,5142.0,4908.5,0.89%,-,Rs.,"13,094 - 16,586",,-,Pune
Ingawale Nagar,6418.0,7012.0,6715.0,-,-,,-,Rs.,"31,559 - 42,078",Pune
Jadhav Wadi,3570.0,4590.0,4080.0,-,"5,253 - 6,304",Rs.,"7,148 - 7,863",Rs.,"9,325 - 10,362",Pune
Kad Nagar,4462.0,5142.0,4802.0,-,-,Rs.,"8,415 - 10,940",Rs.,"13,146 - 15,536",Pune
Kalas,4718.0,5312.0,5015.0,-,"8,160 - 10,200",Rs.,"11,615 - 13,164",,-,Pune
Kalewadi,4505.0,5228.0,4866.5,-0.88%,-,Rs.,"12,118 - 12,875",,-,Pune
Kalyani Nagar,7692.0,9308.0,8500.0,0%,"12,750 - 15,300",Rs.,"20,135 - 23,970",Rs.,"29,363 - 36,354",Pune
Kasarwadi,4888.0,5398.0,5143.0,-1.67%,-,,-,,-,Pune
Kaspate Vasti,5482.0,6120.0,5801.0,4.58%,"9,639 - 10,174",Rs.,"13,090 - 14,960",Rs.,"16,354 - 18,870",Pune
Kate Wasti,4335.0,4930.0,4632.5,-,-,Rs.,"7,370 - 9,580",,-,Pune
Katraj,4675.0,5652.0,5163.5,5.26%,"6,630 - 7,650",Rs.,"9,894 - 12,368",,-,Pune
Katraj Kondhwa Road,4462.0,5142.0,4802.0,4.59%,"6,028 - 7,535",Rs.,"8,340 - 10,615",,-,Pune
Kedari Nagar,5822.0,6970.0,6396.0,-,-,Rs.,"16,618 - 16,618",Rs.,"23,828 - 28,033",Pune
Keshav Nagar,4548.0,5100.0,4824.0,-5.83%,"6,973 - 8,468",Rs.,"10,710 - 12,240",Rs.,"15,481 - 16,672",Pune
Kesnand,3570.0,4420.0,3995.0,-,-,,-,,-,Pune
Kharadi,4930.0,5695.0,5312.5,-4.51%,"8,583 - 10,603",Rs.,"14,620 - 16,448",Rs.,"20,182 - 21,624",Pune
Kirkatwadi,3868.0,4462.0,4165.0,-6.67%,"3,808 - 4,284",,-,,-,Pune
Kirtane Baugh,8500.0,9775.0,9137.5,-,-,,-,,-,Pune
Kiwale,3910.0,4420.0,4165.0,-2%,-,Rs.,"7,863 - 8,578",,-,Pune
Kondhwa,4632.0,5440.0,5036.0,3.51%,"6,902 - 8,874",Rs.,"10,873 - 12,546",Rs.,"16,014 - 18,683",Pune
Kondhwa Budruk,4250.0,4930.0,4590.0,0%,"6,431 - 7,915",Rs.,"8,032 - 9,492",Rs.,"14,729 - 19,638",Pune
Koregaon Mul,2380.0,2805.0,2592.5,-,-,,-,,-,Pune
Koregaon Park,9562.0,12325.0,10943.5,2.8%,"13,138 - 15,484",Rs.,"22,482 - 28,348",Rs.,"35,700 - 47,124",Pune
Koregaon Park Annexe,7310.0,8798.0,8054.0,-,-,,-,,-,Pune
Kothrud,7522.0,8925.0,8223.5,2.13%,"9,418 - 10,831",Rs.,"12,920 - 15,342",Rs.,"19,508 - 22,950",Pune
Kranti Nagar,5695.0,6630.0,6162.5,-,"7,204 - 7,684",Rs.,"11,003 - 11,737",,-,Pune
Krushna Colony,4548.0,4760.0,4654.0,-,-,,-,,-,Pune
Kutwal Colony,4505.0,5142.0,4823.5,-,"6,188 - 7,514",Rs.,"9,293 - 10,008",,-,Pune
Law College Road,12240.0,13685.0,12962.5,-2.24%,-,,-,,-,Pune
Laxman Nagar,7182.0,8118.0,7650.0,-,-,Rs.,"15,924 - 16,861",Rs.,"21,675 - 24,225",Pune
Laxmi Nagar,5228.0,6035.0,5631.5,9.76%,-,Rs.,"11,900 - 14,450",,-,Pune
Lohegaon,3995.0,4505.0,4250.0,1.01%,"5,610 - 7,140",Rs.,"8,772 - 10,234",Rs.,"13,260 - 14,365",Pune
Loni Kalbhor,3060.0,3655.0,3357.5,-1.35%,-,,-,,-,Pune
Lullanagar,5780.0,6970.0,6375.0,-1.33%,"7,650 - 9,180",Rs.,"13,376 - 15,286",Rs.,"16,022 - 20,952",Pune
Maan,4888.0,5015.0,4951.5,-,-,,-,,-,Pune
Magarpatta,6332.0,7310.0,6821.0,0%,"11,628 - 12,597",Rs.,"15,254 - 18,644",Rs.,"23,118 - 28,256",Pune
Mahadev Nagar,3995.0,4718.0,4356.5,-,"8,568 - 9,996",Rs.,"11,067 - 13,280",,-,Pune
Mahalunge,5100.0,5610.0,5355.0,4.24%,"7,371 - 7,832",Rs.,"8,415 - 9,945",,-,Pune
Mamurdi,3570.0,3612.0,3591.0,-12.5%,-,,-,,-,Pune
Manjri,4165.0,4718.0,4441.5,-1.9%,"6,630 - 8,160",Rs.,"8,075 - 10,498",,-,Pune
Manjri BK,4590.0,5100.0,4845.0,-,"7,759 - 8,313",Rs.,"9,116 - 9,945",,-,Pune
Marunji,4378.0,5058.0,4718.0,-5.88%,-,,-,Rs.,"10,072 - 12,087",Pune
Meeta Nagar,3358.0,4122.0,3740.0,-,-,,-,,-,Pune
Mhada Colony,6672.0,7480.0,7076.0,12.93%,"12,580 - 14,593",Rs.,"19,403 - 22,175",Rs.,"25,882 - 29,580",Pune
Mohamadwadi,4548.0,5355.0,4951.5,1.75%,"6,630 - 7,140",Rs.,"9,350 - 11,050",Rs.,"12,750 - 15,300",Pune
Mohan Nagar,5228.0,5695.0,5461.5,4.1%,-,,-,,-,Pune
Mohanwadi,5482.0,5992.0,5737.0,-,-,Rs.,"16,473 - 18,207",,-,Pune
Mokarwadi,3782.0,4505.0,4143.5,-1.04%,"4,345 - 5,311",Rs.,"7,004 - 7,704",,-,Pune
Moshi,3315.0,3910.0,3612.5,7.5%,"5,535 - 6,542",Rs.,"6,793 - 8,303",Rs.,"10,396 - 11,435",Pune
Mundhwa,4632.0,5398.0,5015.0,-2.48%,"7,382 - 8,859",Rs.,"12,304 - 15,585",,-,Pune
Nanded,5185.0,5822.0,5503.5,-,-,Rs.,"9,490 - 10,353",,-,Pune
Nandel Fata,5398.0,5908.0,5653.0,-,-,Rs.,"9,453 - 11,172",,-,Pune
Narhe,3782.0,4505.0,4143.5,-1.04%,"4,345 - 5,311",Rs.,"7,004 - 7,704",,-,Pune
New Sanghvi,4802.0,5398.0,5100.0,0.85%,"7,072 - 7,956",Rs.,"9,806 - 11,206",,-,Pune
NIBM,4718.0,5610.0,5164.0,0%,"7,778 - 9,333",Rs.,"10,200 - 12,750",Rs.,"16,004 - 18,671",Pune
Nigdi,5185.0,5908.0,5546.5,3.15%,"7,670 - 9,588",Rs.,"11,488 - 13,785",,-,Pune
Pandhari Nagar,4675.0,5865.0,5270.0,-11.43%,"10,811 - 11,751",Rs.,"11,864 - 14,407",Rs.,"15,375 - 16,473",Pune
Pashan,6248.0,7098.0,6673.0,2.61%,"9,658 - 11,183",Rs.,"12,622 - 15,147",Rs.,"17,255 - 18,488",Pune
Pashan-Sus Road,5440.0,6375.0,5907.5,-0.71%,"8,583 - 10,098",Rs.,"12,750 - 13,600",Rs.,"15,702 - 16,910",Pune
Patil Nagar,5865.0,6418.0,6141.5,-3.33%,-,Rs.,"13,600 - 14,450",Rs.,"14,025 - 17,531",Pune
Phursungi,3528.0,4250.0,3889.0,-1.09%,"5,470 - 6,464",Rs.,"9,486 - 10,276",Rs.,"14,436 - 17,061",Pune
Pimple Gurav,5015.0,5950.0,5482.5,0.76%,"7,888 - 9,367",Rs.,"10,888 - 12,444",Rs.,"14,155 - 15,244",Pune
Pimple Nilakh,6162.0,6715.0,6438.5,2.04%,"7,153 - 8,583",Rs.,"11,921 - 13,511",,-,Pune
Pimple Saudagar,5738.0,6205.0,5971.5,0%,"10,013 - 11,594",Rs.,"12,750 - 14,450",Rs.,"16,660 - 17,850",Pune
Pimpri,5185.0,6035.0,5610.0,3.85%,-,Rs.,"12,750 - 13,600",,-,Pune
Pimpri Chinchwad,4505.0,5058.0,4781.5,1.8%,-,Rs.,"10,016 - 12,520",Rs.,"14,221 - 17,503",Pune
Pingale Wasti,6248.0,7225.0,6736.5,-,-,,-,,-,Pune
Pisoli,3570.0,3910.0,3740.0,-4.4%,"5,967 - 6,464",Rs.,"7,973 - 9,568",,-,Pune
Prabhat Road,12835.0,13940.0,13387.5,-0.31%,-,Rs.,"22,032 - 22,950",Rs.,"29,325 - 31,875",Pune
Pradhikaran,4802.0,5652.0,5227.0,5.83%,-,Rs.,"9,890 - 11,411",,-,Pune
Punawale,4208.0,4632.0,4420.0,-0.95%,-,Rs.,"8,406 - 9,247",,-,Pune
Pune Mumbai Highway,4930.0,6120.0,5525.0,-0.76%,-,,-,,-,Pune
Raghavendra Nagar,5185.0,6205.0,5695.0,-,-,Rs.,"13,388 - 14,280",,-,Pune
Rahatani,4930.0,5568.0,5249.0,0%,"8,160 - 10,200",Rs.,"11,733 - 14,248",Rs.,"18,488 - 19,720",Pune
Rajgurunagar,2338.0,2592.0,2465.0,0%,-,,-,,-,Pune
Rakshak Nagar,4930.0,5398.0,5164.0,-,-,Rs.,"12,390 - 15,487",Rs.,"19,683 - 22,494",Pune
Rambaug Colony,9138.0,10498.0,9818.0,3.57%,-,,-,,-,Pune
Ram Nagar,6375.0,6842.0,6608.5,-,"8,882 - 10,285",Rs.,"12,112 - 12,920",,-,Pune
Ravet,4335.0,5015.0,4675.0,0.91%,"6,553 - 7,561",Rs.,"9,129 - 10,650",,-,Pune
Sadashiv Peth,7905.0,9350.0,8627.5,6.15%,-,,-,,-,Pune
Sai Colony,4632.0,5398.0,5015.0,-,-,Rs.,"10,000 - 12,308",,-,Pune
Sainath Nagar,5312.0,6545.0,5928.5,-2.11%,-,Rs.,"14,008 - 14,884",,-,Pune
Sakore Nagar,6588.0,7352.0,6970.0,2.55%,"11,730 - 13,770",Rs.,"16,065 - 18,742",,-,Pune
Salisbury Park,7990.0,10710.0,9350.0,0%,-,,-,,-,Pune
Salunke Vihar,5440.0,5992.0,5716.0,-4.32%,"9,180 - 10,710",Rs.,"11,240 - 14,987",Rs.,"14,960 - 19,040",Pune
Samarth Colony,7182.0,8585.0,7883.5,-,-,,-,Rs.,"14,739 - 18,424",Pune
Sanaswadi,2890.0,3358.0,3124.0,0%,-,Rs.,"4,209 - 4,735",,-,Pune
Sangamvadi,14408.0,17085.0,15746.5,-4.39%,-,,-,,-,Pune
Sasane Nagar,4378.0,4802.0,4590.0,2.86%,"6,795 - 7,766",Rs.,"9,425 - 10,210",Rs.,"11,220 - 13,260",Pune
Satar Nagar,3910.0,4250.0,4080.0,-8.49%,"5,315 - 6,950",Rs.,"9,364 - 10,144",Rs.,"10,982 - 12,080",Pune
Satav Nagar,4122.0,4632.0,4377.0,-,-,Rs.,"8,322 - 9,834",,-,Pune
Sector-6 Moshi,4675.0,4675.0,4675.0,0%,-,Rs.,"10,133 - 12,471",,-,Pune
Shankar Kalat Nagar,5142.0,5652.0,5397.0,-3.05%,"9,532 - 10,591",Rs.,"13,324 - 14,212",Rs.,"15,857 - 17,076",Pune
Shastri Nagar,6460.0,7225.0,6842.5,-4.27%,"11,220 - 13,260",Rs.,"16,312 - 18,887",,-,Pune
Shewalewadi,4420.0,5058.0,4739.0,1.83%,-,Rs.,"8,415 - 9,945",,-,Pune
Shikrapur,2975.0,3145.0,3060.0,9.09%,-,,-,,-,Pune
Shinde Vasti,5270.0,6332.0,5801.0,-,-,,-,,-,Pune
Shirgaon,3188.0,3272.0,3230.0,-,-,,-,,-,Pune
Shivane,3272.0,4208.0,3740.0,6.02%,"4,548 - 5,457",Rs.,"6,426 - 7,854",,-,Pune
Shukravar Peth,5865.0,6800.0,6332.5,-,-,,-,,-,Pune
Siddartha Nagar,4845.0,5398.0,5121.5,1.71%,"9,399 - 9,894",Rs.,"11,781 - 12,566",Rs.,"11,762 - 13,901",Pune
Sinhgad Road,4462.0,5568.0,5015.0,-5.69%,"5,671 - 7,089",Rs.,"8,331 - 10,603",,-,Pune
Somatane,3528.0,3910.0,3719.0,0%,-,,-,,-,Pune
Somatne Phata,3102.0,3230.0,3166.0,2.74%,-,,-,,-,Pune
Sopan Baug,8245.0,9902.0,9073.5,2.43%,-,,-,,-,Pune
Sus,4675.0,5100.0,4887.5,-2.56%,-,Rs.,"9,163 - 11,662",Rs.,"11,900 - 14,280",Pune
Sutarwadi,5270.0,6290.0,5780.0,-,-,,-,,-,Pune
Swatantrya Sainik Nagar,6545.0,7012.0,6778.5,-,"11,485 - 12,442",Rs.,"14,688 - 17,136",Rs.,"18,360 - 20,655",Pune
Talegaon Dabhade,3315.0,3655.0,3485.0,9.46%,"3,910 - 4,888",Rs.,"5,467 - 6,834",,-,Pune
Tathawade,4888.0,5185.0,5036.5,0.85%,"8,699 - 9,211",Rs.,"10,608 - 12,376",Rs.,"13,879 - 14,946",Pune
Thergaon,5058.0,5568.0,5313.0,1.61%,"8,527 - 10,126",Rs.,"11,900 - 12,750",Rs.,"13,997 - 15,269",Pune
Thite Nagar,5270.0,5652.0,5461.0,-,"9,060 - 10,014",Rs.,"13,709 - 15,994",,-,Pune
Tilekar Nagar,4335.0,4845.0,4590.0,-,"5,978 - 7,358",Rs.,"7,174 - 9,326",,-,Pune
Tingre Nagar,4335.0,5312.0,4823.5,5.61%,-,,-,,-,Pune
Tukai Nagar,4378.0,4972.0,4675.0,-,"6,545 - 7,012",Rs.,"7,948 - 8,670",,-,Pune
Tukaram Nagar,5482.0,5865.0,5673.5,1.54%,-,Rs.,"14,674 - 16,509",Rs.,"22,788 - 25,469",Pune
Tulaja Bhawani Nagar,5142.0,5652.0,5397.0,-0.78%,"9,932 - 10,978",Rs.,"13,273 - 15,927",Rs.,"15,470 - 17,850",Pune
Ubale Nagar,4590.0,5312.0,4951.0,-3.39%,"6,688 - 7,643",Rs.,"9,713 - 11,207",,-,Pune
Uday Baug,6162.0,6758.0,6460.0,0.69%,-,,-,,-,Pune
Undri,3825.0,4165.0,3995.0,-1.05%,"6,120 - 6,630",Rs.,"8,075 - 9,690",Rs.,"11,926 - 14,311",Pune
Uttam Nagar,4548.0,5568.0,5058.0,-,-,Rs.,"12,495 - 13,328",,-,Pune
Vadgaon Budruk,4165.0,5100.0,4632.5,-1.8%,-,Rs.,"8,116 - 10,329",,-,Pune
Vadgaon Sheri,5142.0,5992.0,5567.0,8.06%,"7,956 - 9,945",Rs.,"14,960 - 16,830",Rs.,"16,660 - 22,610",Pune
Vallabh Nagar,5865.0,6502.0,6183.5,-,-,Rs.,"13,586 - 14,436",,-,Pune
Veerbhadra Nagar,6460.0,7395.0,6927.5,0.62%,-,Rs.,"13,808 - 17,490",Rs.,"18,551 - 21,025",Pune
Vikas Nagar,3825.0,4802.0,4313.5,-,-,,-,,-,Pune
